date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2015-10-28,MIL,False,False,W,24,16.0,5.0,1.0,1.0,1.0,2.0,3.0,11.0,0.273,1.0,2.0,0.5,9.0,12.0,0.75,9.8,1.0
2015-10-29,ATL,True,True,L,26,10.0,8.0,0.0,3.0,1.0,4.0,4.0,10.0,0.4,0.0,4.0,0.0,2.0,2.0,1.0,5.5,-5.0
2015-10-31,WAS,False,False,W,21,8.0,6.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.6,10.0
2015-11-02,SAS,True,False,L,24,13.0,14.0,1.0,3.0,2.0,2.0,5.0,15.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,13.0,-8.0
2015-11-04,CLE,False,False,L,21,13.0,4.0,1.0,2.0,2.0,0.0,6.0,11.0,0.545,1.0,4.0,0.25,0.0,0.0,0.0,11.4,-1.0
2015-11-06,MIL,True,False,L,28,14.0,13.0,1.0,0.0,1.0,2.0,6.0,13.0,0.462,1.0,4.0,0.25,1.0,2.0,0.5,12.6,-6.0
2015-11-08,LAL,True,False,W,26,12.0,10.0,1.0,0.0,2.0,0.0,3.0,10.0,0.3,1.0,3.0,0.333,5.0,6.0,0.833,10.1,18.0
2015-11-10,TOR,False,False,W,20,8.0,6.0,1.0,0.0,0.0,3.0,3.0,11.0,0.273,0.0,1.0,0.0,2.0,2.0,1.0,1.0,7.0
2015-11-11,CHA,False,True,L,32,10.0,15.0,0.0,0.0,2.0,3.0,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,7.9,9.0
2015-11-13,CLE,True,False,L,28,11.0,7.0,1.0,0.0,0.0,1.0,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,0.0,7.9,1.0
2015-11-15,NOP,True,False,W,23,10.0,4.0,0.0,1.0,1.0,0.0,4.0,15.0,0.267,1.0,4.0,0.25,1.0,2.0,0.5,2.4,6.0
2015-11-17,CHA,True,False,W,31,29.0,11.0,0.0,0.0,1.0,1.0,10.0,17.0,0.588,2.0,2.0,1.0,7.0,7.0,1.0,24.1,20.0
2015-11-20,OKC,False,False,W,26,7.0,6.0,2.0,0.0,1.0,2.0,2.0,5.0,0.4,1.0,2.0,0.5,2.0,4.0,0.5,5.0,1.0
2015-11-21,HOU,False,True,W,36,24.0,14.0,2.0,0.0,7.0,3.0,8.0,12.0,0.667,2.0,3.0,0.667,6.0,6.0,1.0,27.9,14.0
2015-11-23,MIA,False,False,L,37,20.0,14.0,1.0,1.0,2.0,1.0,7.0,18.0,0.389,3.0,5.0,0.6,3.0,3.0,1.0,15.3,-8.0
2015-11-25,ORL,False,False,L,36,10.0,9.0,3.0,0.0,6.0,2.0,3.0,13.0,0.231,0.0,4.0,0.0,4.0,6.0,0.667,8.7,-2.0
2015-11-27,MIA,True,False,L,24,11.0,8.0,0.0,2.0,3.0,3.0,5.0,11.0,0.455,0.0,1.0,0.0,1.0,2.0,0.5,6.4,-6.0
2015-11-29,HOU,True,False,L,41,20.0,13.0,1.0,1.0,2.0,2.0,8.0,13.0,0.615,0.0,1.0,0.0,4.0,4.0,1.0,18.3,2.0
2015-12-02,PHI,True,False,W,30,17.0,10.0,2.0,0.0,4.0,2.0,6.0,10.0,0.6,2.0,2.0,1.0,3.0,3.0,1.0,17.6,6.0
2015-12-04,BKN,True,False,W,26,19.0,10.0,2.0,0.0,2.0,1.0,7.0,13.0,0.538,3.0,4.0,0.75,2.0,2.0,1.0,17.1,15.0
2015-12-05,MIL,False,True,L,22,12.0,7.0,1.0,0.0,0.0,5.0,4.0,8.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,5.0,-15.0
2015-12-07,DAL,True,False,L,35,28.0,2.0,1.0,1.0,2.0,2.0,13.0,18.0,0.722,2.0,4.0,0.5,0.0,0.0,0.0,21.9,-2.0
2015-12-09,UTA,False,False,L,13,4.0,3.0,0.0,0.0,0.0,1.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-1.3,-27.0
2015-12-10,SAC,False,True,L,34,13.0,7.0,2.0,2.0,3.0,3.0,4.0,11.0,0.364,1.0,2.0,0.5,4.0,5.0,0.8,10.3,-2.0
2015-12-12,POR,False,False,W,19,0.0,3.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-8.0
2015-12-16,MIN,True,False,W,29,11.0,6.0,3.0,0.0,7.0,3.0,4.0,14.0,0.286,1.0,6.0,0.167,2.0,2.0,1.0,8.6,4.0
2015-12-18,PHI,False,False,W,26,8.0,4.0,1.0,1.0,3.0,2.0,3.0,9.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,5.9,15.0
2015-12-19,CHI,True,True,W,29,10.0,7.0,3.0,1.0,1.0,0.0,4.0,9.0,0.444,0.0,3.0,0.0,2.0,3.0,0.667,9.6,13.0
2015-12-21,ORL,True,False,L,25,9.0,8.0,1.0,0.0,4.0,2.0,3.0,12.0,0.25,1.0,6.0,0.167,2.0,2.0,1.0,6.1,2.0
2015-12-23,CLE,False,False,L,38,23.0,13.0,4.0,1.0,1.0,1.0,8.0,18.0,0.444,4.0,5.0,0.8,3.0,4.0,0.75,21.4,-8.0
2015-12-26,ATL,False,False,L,21,9.0,2.0,1.0,0.0,1.0,2.0,3.0,10.0,0.3,1.0,2.0,0.5,2.0,2.0,1.0,3.2,-3.0
2015-12-27,BOS,False,True,L,28,16.0,12.0,0.0,2.0,3.0,2.0,4.0,13.0,0.308,0.0,1.0,0.0,8.0,8.0,1.0,14.2,-6.0
2015-12-29,DET,True,False,W,19,10.0,2.0,1.0,0.0,2.0,1.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,8.7,0.0
2016-01-01,CHI,False,False,L,28,9.0,9.0,1.0,1.0,1.0,1.0,4.0,14.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,4.1,-11.0
2016-01-03,ATL,True,False,W,30,14.0,7.0,0.0,0.0,1.0,2.0,5.0,13.0,0.385,2.0,3.0,0.667,2.0,2.0,1.0,7.3,13.0
2016-01-05,ATL,False,False,W,32,17.0,11.0,1.0,0.0,1.0,1.0,7.0,12.0,0.583,0.0,3.0,0.0,3.0,3.0,1.0,15.5,2.0
2016-01-06,MIA,False,True,W,31,12.0,4.0,1.0,0.0,2.0,1.0,3.0,10.0,0.3,0.0,1.0,0.0,6.0,6.0,1.0,7.3,4.0
2016-01-08,SAS,False,False,L,33,28.0,11.0,0.0,1.0,0.0,3.0,11.0,21.0,0.524,3.0,7.0,0.429,3.0,4.0,0.75,18.6,-4.0
2016-01-10,MIL,True,False,W,30,15.0,6.0,2.0,1.0,5.0,4.0,5.0,11.0,0.455,2.0,5.0,0.4,3.0,4.0,0.75,12.6,17.0
2016-01-12,BOS,True,False,W,27,26.0,6.0,2.0,2.0,2.0,0.0,10.0,18.0,0.556,3.0,9.0,0.333,3.0,4.0,0.75,21.6,0.0
2016-01-13,BKN,False,True,L,37,12.0,10.0,2.0,3.0,2.0,1.0,5.0,17.0,0.294,0.0,3.0,0.0,2.0,3.0,0.667,10.7,-3.0
2016-01-16,MEM,False,False,L,28,17.0,4.0,2.0,2.0,0.0,1.0,7.0,12.0,0.583,1.0,3.0,0.333,2.0,3.0,0.667,13.8,-1.0
2016-01-18,PHI,True,False,W,34,16.0,12.0,4.0,1.0,3.0,1.0,7.0,11.0,0.636,2.0,4.0,0.5,0.0,0.0,0.0,20.0,12.0
2016-01-20,UTA,True,False,W,29,16.0,5.0,2.0,0.0,3.0,1.0,4.0,9.0,0.444,2.0,5.0,0.4,6.0,6.0,1.0,13.3,-4.0
2016-01-22,LAC,True,False,L,28,13.0,8.0,0.0,0.0,0.0,2.0,4.0,17.0,0.235,2.0,6.0,0.333,3.0,4.0,0.75,3.1,-11.0
2016-01-23,CHA,False,True,L,30,13.0,4.0,0.0,0.0,3.0,1.0,4.0,9.0,0.444,2.0,5.0,0.4,3.0,4.0,0.75,8.2,4.0
2016-01-26,OKC,True,False,L,31,15.0,5.0,2.0,2.0,2.0,1.0,5.0,12.0,0.417,2.0,4.0,0.5,3.0,4.0,0.75,12.7,-16.0
2016-01-29,PHX,True,False,W,24,7.0,7.0,3.0,2.0,1.0,0.0,3.0,8.0,0.375,0.0,1.0,0.0,1.0,2.0,0.5,9.1,19.0
2016-01-31,GSW,True,False,L,20,14.0,6.0,1.0,1.0,0.0,2.0,3.0,8.0,0.375,2.0,2.0,1.0,6.0,8.0,0.75,10.3,-18.0
2016-02-02,BOS,True,False,L,27,10.0,5.0,0.0,1.0,1.0,3.0,4.0,11.0,0.364,0.0,2.0,0.0,2.0,2.0,1.0,3.7,-4.0
2016-02-04,DET,False,False,L,24,5.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,0.222,1.0,4.0,0.25,0.0,0.0,0.0,0.7,-6.0
2016-02-05,MEM,True,True,L,38,17.0,10.0,0.0,0.0,6.0,3.0,6.0,12.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0,14.8,10.0
2016-02-07,DEN,True,False,L,35,21.0,13.0,2.0,0.0,2.0,2.0,10.0,23.0,0.435,1.0,3.0,0.333,0.0,0.0,0.0,14.0,7.0
